# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	16305
#@/user_id	795262db-87d0-4783-b0bf-776301b58950
a 	啊	c=234 d=2.55875 t=16075
jiu ke yi de 	就可以的	c=1 d=1 t=10881
jiu ke yi le 	就可以了	c=1 d=1 t=12408
jiu lai 	就來	c=0 d=0.1 t=10114
jiu le 	久了	c=1 d=1 t=8373
jiu lei si yu 	就類似於	c=1 d=1 t=5705
jiu mai 	就買	c=1 d=1 t=6343
jiu mai sha 	就買啥	c=1 d=1 t=13083
jiu mai yi kuai 	就買一塊	c=1 d=1 t=14254
jiu mei jian guo 	就沒見過	c=1 d=1 t=2114
jiu mei le 	就沒了	c=1 d=1 t=11692
jiu na me 	就那麼	c=1 d=0.106638 t=1288
jiu na me ji 	就那麼急	c=1 d=1 t=1289
jiu neng 	就能	c=0 d=0.1 t=11253
jiu neng jin 	就能進	c=1 d=1 t=11254
jiu neng yong 	就能用	c=2 d=1 t=7985
jiu pa 	就怕	c=1 d=1 t=11700
jiu pa ta 	就怕他	c=1 d=1 t=6559
jiu pao 	就跑	c=0 d=0.1 t=13319
jiu qi ren 	就氣人	c=1 d=1 t=10809
jiu qing jia 	就請假	c=1 d=1 t=8926
jiu qu 	就去	c=1 d=0.251829 t=4727
jiu qu zuo he suan 	就去做核酸	c=1 d=1 t=4728
jiu rang 	就讓	c=0 d=0.1 t=1983
jiu rang ta 	就讓他	c=1 d=1 t=6054
jiu rang zan men 	就讓咱們	c=1 d=1 t=1984
jiu shang ci 	就上次	c=1 d=1 t=11410
jiu shang zhang 	就上漲	c=1 d=1 t=12553
jiu shi 	就是	c=51 d=2.30448 t=15570
jiu shi bie chu lai 	就是別出來	c=1 d=1 t=8686
jiu shi da gong zai 	就是打工仔	c=1 d=1 t=10153
jiu shi guang 	舊時光	c=1 d=1 t=6146
jiu shi na ge yi si 	就是那個意思	c=1 d=1 t=11924
jiu shi shuo 	就是說	c=1 d=1 t=896
jiu shi wo le 	就是我了	c=1 d=1 t=5999
jiu shu ru 	就輸入	c=1 d=1 t=9654
jiu shui hui 	就睡會	c=1 d=1 t=439
jiu shuo 	就說	c=1 d=0.1 t=14390
jiu shuo de guo qu le 	就說得過去了	c=1 d=1 t=3618
jiu shuo ming 	就說明	c=1 d=1 t=4247
jiu shuo zan lai 	就說咱來	c=1 d=1 t=14391
jiu suan le 	就算了	c=1 d=1 t=4943
jiu ting hao 	就挺好	c=2 d=1 t=5007
jiu wan le 	就完了	c=0 d=0.1 t=12445
jiu wo 	就我	c=1 d=1 t=12059
jiu wo er yan 	就我而言	c=1 d=1 t=7108
jiu xian 	就先	c=0 d=0.1 t=12768
jiu xian bie chi le 	就先別吃了	c=1 d=1 t=12769
jiu xian bu chi 	就先不齒	c=1 d=1 t=5026
jiu xiang 	就像	c=0 d=0.1 t=5838
jiu xiang 	就想	c=0 d=0.1 t=11033
jiu xiang dang yu 	就相當於	c=2 d=1.91851 t=11921
jiu xiang zai 	就像在	c=1 d=1 t=5839
jiu xiang zao zao chu qu 	就想早早出去	c=1 d=1 t=11034
jiu xing 	就行	c=11 d=1.00002 t=16241
jiu xing 	酒興	c=0 d=0.1 t=11475
jiu xing a 	酒興啊	c=1 d=1 t=11476
jiu xing le 	就行了	c=1 d=1 t=3194
jiu xu yao 	就需要	c=1 d=1 t=2911
jiu yi jing 	就已經	c=1 d=1 t=4561
jiu yong 	就用	c=1 d=0.111221 t=6556
jiu yong yuan bu zai geng huan le 	就永遠不在更換了	c=1 d=1 t=11083
jiu you 	就有	c=0 d=0.1 t=14353
jiu you fan guang 	就有反光	c=1 d=1 t=13558
jiu you gan jue 	就有感覺	c=1 d=1 t=5398
jiu zai 	就在	c=1 d=0.1 t=7662
jiu zai 	救災	c=1 d=1 t=3210
jiu zhang de kuai le 	就長得快了	c=1 d=1 t=5607
jiu zhe 	就這	c=1 d=1 t=6573
jiu zhe ge 	就這個	c=1 d=1 t=14358
jiu zhe me cheng jiao 	就這麼成交	c=1 d=1 t=10720
jiu zhe xie 	就這些	c=1 d=1 t=10489
jiu zhe xie qian 	就這些錢	c=1 d=1 t=14381
jiu zhe yang 	就這樣	c=2 d=1 t=13949
jiu zhe yang xian shi 	就這樣顯示	c=1 d=1 t=3325
jiu zhi dao 	就知道	c=2 d=1 t=8816
jiu zhi dao le 	就知道了	c=2 d=1.00001 t=15077
jiu zhi xing 	就執行	c=2 d=1.9802 t=10678
jiu zhong 	舊種	c=1 d=1 t=7838
jiu zou 	就走	c=1 d=1 t=10260
ju 	劇	c=1 d=1 t=9645
ju 	局	c=0 d=0.1 t=9643
ju bao 	舉報	c=0 d=0.198511 t=12594
ju bao le 	舉報了	c=1 d=1 t=12595
ju ben 	劇本	c=1 d=1 t=2470
ju can 	聚餐	c=3 d=1.98449 t=1717
ju ji 	聚集	c=0 d=0.1 t=448
ju ji xing 	聚集性	c=1 d=1 t=449
ju jia 	居家	c=1 d=1 t=11543
ju jue 	拒絕	c=2 d=1.97531 t=13434
ju jue shang chuan 	拒絕上傳	c=1 d=1 t=355
ju li 	距離	c=1 d=1 t=6357
ju shi 	句式	c=1 d=1 t=12622
ju ti 	具體	c=18 d=1.00058 t=16091
ju ti fen xi 	具體分析	c=1 d=1 t=2879
ju ti wen ti 	具體問題	c=1 d=1 t=2874
ju wo suo zhi 	據我所知	c=1 d=1 t=14219
ju xian 	侷限	c=1 d=1 t=15422
ju xian xing 	侷限性	c=0 d=0.1 t=3030
ju zhu zheng 	居住證	c=1 d=1 t=15257
ju zi 	橘子	c=1 d=1.09608 t=3633
jue de 	覺得	c=3 d=1 t=8837
jue de e 	覺得餓	c=1 d=1 t=5015
jue ding 	決定	c=1 d=1 t=1960
jue dui shi 	絕對是	c=1 d=1 t=10477
jun ke 	均可	c=1 d=1 t=9495
jun xian 	均線	c=1 d=1 t=6425
jun yue 	君悅	c=1 d=1 t=701
ka 	卡	c=1 d=0.1 t=14012
ka hao 	卡號	c=1 d=1 t=8066
ka li 	卡里	c=0 d=0.1 t=6554
ka zai 	卡在	c=1 d=1 t=402
ka zhu 	卡住	c=2 d=1.9304 t=3370
ka zhu de 	卡住的	c=1 d=1 t=3352
ka zhu le 	卡住了	c=2 d=1.09374 t=3371
kai 	開	c=3 d=1.00031 t=10999
kai che 	開車	c=1 d=1 t=9926
kai che shi jian tai jiu 	開車時間太久	c=1 d=1 t=1789
kai de hen shao 	開的很少	c=1 d=1 t=1696
kai dian ti 	開電梯	c=1 d=1 t=4237
kai fa 	開發	c=1 d=1 t=10152
kai fa de 	開發的	c=1 d=1 t=10896
kai fa gang wei 	開發崗位	c=1 d=1 t=688
kai fang 	開放	c=1 d=1 t=15894
kai guan ji 	開關機	c=1 d=1 t=3322
kai hui 	開會	c=3 d=0.10045 t=15977
kai hui le 	開會了	c=1 d=1 t=11586
kai hui me 	開會麼	c=1 d=1 t=14754
kai hui zhong 	開會中	c=2 d=1 t=3668
kai ji 	開機	c=0 d=0.1 t=3326
kai ji zhi hou 	開機之後	c=1 d=1 t=3327
kai kai 	開開	c=0 d=0.192774 t=313
kai kai chuang 	開開窗	c=1 d=1 t=314
kai kong tiao 	開空調	c=1 d=1 t=3992
kai le 	開了	c=0 d=0.1 t=12144
kai ne 	開呢	c=1 d=1 t=15374
kai pan 	開盤	c=0 d=0.1 t=6235
kai qi 	開啓	c=1 d=1 t=203
kai qi 	開起	c=0 d=0.1 t=7758
kai qi duo shao ge 	開起多少個	c=1 d=1 t=7759
kai quan ju 	開全局	c=1 d=1.00032 t=9715
kai shi 	開始	c=6 d=0.248165 t=16086
kai shi zuo fan 	開始做飯	c=1 d=1 t=3829
kai shuan 	開涮	c=1 d=1 t=14970
kai tou 	開頭	c=1 d=1 t=6230
kai tou de 	開頭的	c=1 d=1 t=8094
kai wan 	開完	c=0 d=0.101822 t=14151
kai wan hui 	開完會	c=1 d=1 t=13351
kai wan le 	開完了	c=2 d=1.00005 t=3681
kai wan zai shuo 	開完再說	c=1 d=1 t=14152
kai xin 	開心	c=1 d=1.19109 t=5041
kai yi 	開一	c=0 d=0.1 t=1794
kai yi ge 	開一個	c=1 d=1 t=760
kai yi tian de che 	開一天的車	c=1 d=1 t=1795
kai yuan 	開源	c=0 d=0.102548 t=16119
kai yuan gong ju ba 	開源工具吧	c=1 d=1 t=15386
kai yuan xie yi 	開源協議	c=2 d=1.98511 t=16123
kan 	看	c=8 d=1.0256 t=15708
kan ba 	看吧	c=0 d=0.1 t=4732
kan bu 	看不	c=0 d=0.1 t=6242
kan bu chu lai 	看不出來	c=1 d=1 t=4972
kan bu dao 	看不到	c=1 d=1 t=12516
kan bu liao 	看不了	c=1 d=1 t=9646
kan bu liao o 	看不了哦	c=1 d=1 t=9555
kan bu tai dong 	看不太懂	c=1 d=1 t=6243
kan chu lai 	看出來	c=2 d=1 t=12529
kan dao 	看到	c=7 d=1 t=15610
kan dao de 	看到的	c=1 d=1 t=7679
kan dao le 	看到了	c=3 d=1 t=16076
kan dao ni le 	看到你了	c=1 d=1 t=11504
kan de 	看得	c=0 d=0.1 t=12737
kan de hen shao 	看得很少	c=1 d=1 t=1698
kan de shao 	看得少	c=1 d=1 t=12738
kan de shi hou 	看的時候	c=1 d=1 t=2008
kan dong 	看懂	c=0 d=0.101139 t=13321
kan fa 	看法	c=0 d=0.1 t=11395
kan fa shi 	看法是	c=1 d=1 t=11396
kan guo 	看過	c=0 d=0.1 t=2471
kan jian 	看見	c=0 d=0.1 t=12242
kan kan 	看看	c=46 d=1.04352 t=16243
kan kan ba 	看看吧	c=1 d=1 t=12781
kan kan pei liao biao 	看看配料表	c=1 d=1 t=10356
kan lai 	看來	c=1 d=1 t=1048
kan le 	看了	c=0 d=0.1 t=13727
kan le xia 	看了下	c=1 d=1 t=2720
kan neng bu neng 	看能不能	c=1 d=1 t=3880
kan ni 	看你	c=0 d=0.1 t=3315
kan ni men 	看你們	c=1 d=1 t=10807
kan qi 	看齊	c=0 d=0.1 t=11889
kan qing kuang 	看情況	c=0 d=0.1 t=13887
kan qing xu 	看情緒	c=1 d=1 t=12521
kan qun li 	看羣裏	c=1 d=1 t=11054
kan shang qu 	看上去	c=3 d=1.00811 t=7066
kan ta 	看它	c=0 d=0.1 t=6723
kan ta xi bu xi huan 	看它喜不喜歡	c=1 d=1 t=6724
kan tu 	看圖	c=0 d=0.1 t=262
kan tu zhong 	看圖中	c=1 d=1 t=263
kan wan 	看完	c=1 d=1 t=11446
kan xia 	看下	c=6 d=1.00181 t=14928
kan ye 	侃爺	c=1 d=1 t=12513
kan yi hui 	看一會	c=1 d=1 t=2770
kan yi xia 	看一下	c=2 d=0.100002 t=13546
kan you 	看有	c=0 d=0.1 t=15228
kan you huo le 	看有貨了	c=1 d=1 t=15229
kan zhe 	看着	c=3 d=0.1 t=14319
kan zhe 	看這	c=2 d=1.0534 t=4636
kan zhe bi jiao zhuan ye 	看着比較專業	c=1 d=1 t=14320
kan zhe bu cuo 	看着不錯	c=1 d=1 t=6195
kan zhe ting chou 	看着挺丑	c=1 d=1 t=6193
kan zhe ying gai bu shi 	看這應該不是	c=1 d=1 t=1571
kang ding zhi zuo 	扛鼎之作	c=1 d=1 t=16168
kao 	拷	c=0 d=0.1 t=2329
kao 	靠	c=0 d=0.1 t=14402
kao bu chu lai 	拷不出來	c=1 d=1 t=2330
kao cha 	考察	c=1 d=1 t=13620
kao he zhi biao 	考覈指標	c=1 d=1 t=7843
kao lv 	考慮	c=4 d=0.1 t=14541
kao lv yi hou 	考慮以後	c=1 d=1 t=11610
kao pu 	靠譜	c=0 d=0.1 t=6652
kao pu me 	靠譜麼	c=1 d=1 t=6653
kao yan 	考驗	c=0 d=0.1 t=12908
ke 	可	c=0 d=0.1 t=15384
ke 	殼	c=1 d=1 t=10121
ke ai 	可愛	c=0 d=0.1 t=4985
ke bei 	可悲	c=0 d=0.1 t=12392
ke bie 	可別	c=1 d=1 t=12651
ke bu gan 	可不敢	c=2 d=1 t=12039
ke bu hao 	可不好	c=1 d=1 t=3115
ke bu ke yi 	可不可以	c=3 d=1 t=14767
ke bu shi 	可不是	c=1 d=1 t=11234
ke hu duan 	客戶端	c=6 d=1.99501 t=15136
ke ji 	科技	c=1 d=1 t=4963
ke jian de 	可見的	c=0 d=0.1 t=5826
ke jian de hua 	可見的話	c=1 d=1 t=5827
ke kou 	剋扣	c=1 d=1 t=10039
ke le 	可樂	c=1 d=1 t=8279
ke neng 	可能	c=37 d=2.33239 t=15745
ke neng ba 	可能吧	c=1 d=1 t=11733
ke neng cha bu duo 	可能差不多	c=1 d=1 t=136
ke neng de 	可能的	c=1 d=1 t=2888
ke neng dei 	可能得	c=1 d=1 t=12236
ke neng gen ni 	可能跟你	c=1 d=1 t=13232
ke neng geng nan shou 	可能更難受	c=1 d=1 t=251
ke neng jiu 	可能就	c=1 d=1 t=3974
ke neng jiu shi 	可能就是	c=1 d=1 t=5036
ke neng shi 	可能是	c=12 d=1.12566 t=12012
ke neng wang le 	可能忘了	c=1 d=1 t=12150
ke neng xu yao 	可能需要	c=1 d=1 t=13193
ke neng yao bu chong yi xia 	可能要補充一下	c=1 d=1 t=1120
ke neng you 	可能有	c=1 d=1 t=5502
ke neng you ge 	可能有個	c=1 d=1 t=8099
ke qi 	客氣	c=1 d=1 t=11113
ke shi 	可是	c=2 d=1 t=12695
ke shi ge 	可是個	c=1 d=1 t=10172
ke shi hua 	可視化	c=0 d=0.1 t=14723
ke ti dai de 	可替代的	c=1 d=1 t=15385
ke xing 	剋星	c=1 d=1 t=15952
ke xing 	可行	c=1 d=1 t=15953
ke xing xing 	可行性	c=1 d=1 t=11428
ke yan 	可言	c=1 d=1 t=12665
ke yi 	可以	c=150 d=1.46892 t=16293
ke yi a 	可以啊	c=11 d=1.0041 t=15039
ke yi ba 	可以吧	c=4 d=1 t=14854
ke yi bang mang 	可以幫忙	c=1 d=1 t=11170
ke yi bo fang 	可以播放	c=1 d=1 t=8463
ke yi bu 	可以不	c=3 d=1 t=8420
ke yi chi 	可以喫	c=2 d=0.100005 t=8509
ke yi chi mai wai 	可以喫賣外	c=1 d=1 t=8510
ke yi da kai 	可以打開	c=1 d=1 t=7232
ke yi da liang ba 	可以打量吧	c=1 d=1 t=477
ke yi de 	可以的	c=3 d=1.02495 t=2575
ke yi de hua 	可以的話	c=2 d=1 t=15520
ke yi deng 	可以等	c=2 d=1.00001 t=6439
ke yi dian 	可以點	c=1 d=1 t=4475
ke yi fan sheng 	可以反省	c=1 d=1 t=16007
ke yi fang 	可以放	c=1 d=1 t=6374
ke yi fang dao 	可以放到	c=1 d=1 t=10761
ke yi gai jin 	可以改進	c=1 d=1 t=3019
ke yi huan 	可以換	c=0 d=0.1 t=12107
ke yi huan jia chi 	可以換家喫	c=1 d=1 t=8508
ke yi jin 	可以進	c=1 d=1 t=7473
ke yi kuo rong me 	可以擴容麼	c=1 d=1 t=15920
ke yi le 	可以了	c=9 d=1 t=13293
ke yi lian jie 	可以連接	c=1 d=1 t=5176
ke yi mai 	可以買	c=1 d=0.1 t=6339
ke yi me 	可以麼	c=4 d=0.113576 t=12668
ke yi qu 	可以去	c=3 d=1.00004 t=6482
ke yi rang 	可以讓	c=0 d=0.1 t=6721
ke yi rang ta chang chang 	可以讓他嘗嘗	c=1 d=1 t=6722
ke yi shi xian 	可以實現	c=1 d=1 t=8209
ke yi tao lun xia 	可以討論下	c=1 d=1 t=14251
ke yi tiao 	可以調	c=1 d=1 t=4346
ke yi tong guo 	可以通過	c=1 d=1 t=15898
ke yi xian deng deng 	可以先等等	c=1 d=1 t=2754
ke yi xian kan kan 	可以先看看	c=1 d=1 t=11674
ke yi xie 	可以寫	c=1 d=1 t=10620
ke yi yong 	可以用	c=1 d=1 t=3680
ke yi yong lai 	可以用來	c=1 d=1 t=14924
ke yi zhi jie 	可以直接	c=1 d=1 t=13062
ke yi zuo 	可以做	c=1 d=1 t=6799
ke yi zuo dao 	可以做到	c=1 d=1 t=12559
ke yong 	可用	c=1 d=1 t=7924
ke zhuan zhai 	可轉債	c=2 d=1.09005 t=10993
ke zhuan zhai ting pai 	可轉債停牌	c=1 d=1 t=10994
ken ding 	肯定	c=9 d=0.180275 t=15094
ken ding bu dao 	肯定不到	c=1 d=1 t=13038
ken ding bu ku 	肯定不哭	c=1 d=1 t=2488
ken ding chao guo le 	肯定超過了	c=1 d=1 t=12114
ken ding e le 	肯定餓了	c=1 d=1 t=11263
ken ding fen 	肯定分	c=1 d=1 t=840
ken ding gou yong 	肯定夠用	c=1 d=1 t=7869
ken ding hui 	肯定會	c=1 d=1 t=11659
ken ding ke yi 	肯定可以	c=1 d=1 t=6804
ken ding pao a 	肯定跑啊	c=1 d=1 t=11012
ken ding pin bu guo 	肯定拼不過	c=1 d=1 t=3673
ken ding shi 	肯定是	c=3 d=0.165546 t=12198
ken ding shi zhuan de 	肯定是轉的	c=1 d=1 t=12199
ken ding yao bu gou yong le 	肯定要不夠用了	c=1 d=1 t=12864
ken ding yao mai 	肯定要買	c=1 d=1.09005 t=11670
ken ding yao mai ge 	肯定要買個	c=1 d=1 t=11671
ken ding yao na de 	肯定要拿的	c=1 d=1 t=8344
ken ding yao qian 	肯定要錢	c=1 d=1 t=13377
ken ding you ren zai xiu 	肯定有人在修	c=1 d=1 t=3217
ken ding you xiang fa 	肯定有想法	c=1 d=1 t=1906
ken qing 	懇請	c=1 d=1 t=13631
keng 	坑	c=1 d=1 t=6341
keng ta 	坑他	c=1 d=1 t=1346
kong 	孔	c=2 d=1.02599 t=9060
kong 	空	c=1 d=1 t=9061
kong gao 	控高	c=1 d=1 t=6356
kong ge 	空格	c=1 d=1 t=8106
kong jian 	空間	c=0 d=0.1 t=7850
kong kuang 	空曠	c=2 d=1.99005 t=10494
kong qi 	空氣	c=1 d=1 t=508
kong shen me wan yi 	空什麼玩意	c=1 d=1 t=6527
kong tiao 	空調	c=0 d=0.1 t=3991
kong wu yi ren 	空無一人	c=1 d=1 t=11728
kong zhi hao 	控制好	c=1 d=1 t=1595
kong zhi xia 	控制下	c=1 d=1 t=12861
kou 	釦	c=1 d=1 t=13359
kou fei 	扣費	c=0 d=0.1 t=1188
kou qu 	扣去	c=1 d=1 t=12947
kou wei 	口味	c=1 d=1 t=4497
ku 	庫	c=1 d=1 t=11770
ku 	褲	c=0 d=0.1 t=9371
ku cha 	褲衩	c=0 d=0.1 t=13123
ku cha zi 	褲衩子	c=1 d=1 t=13124
ku jie 	枯竭	c=0 d=0.1 t=5739
ku yao 	褲腰	c=1 d=1 t=4314
ku zi 	褲子	c=2 d=1.00006 t=6298
kua ke 	夸克	c=1 d=1 t=16003
kua zhang 	誇張	c=1 d=1 t=4663
kuai 	塊	c=2 d=1 t=14255
kuai 	快	c=2 d=1.28083 t=10184
kuai ba 	快把	c=0 d=0.1 t=14256
kuai ba zhe 	快把這	c=1 d=1 t=14257
kuai can 	快餐	c=0 d=0.1 t=4441
kuai can yu 	快餐魚	c=1 d=1 t=4442
kuai dao qi 	快到期	c=1 d=0.1 t=14153
kuai dao qi le 	快到期了	c=1 d=1 t=14154
kuai de 	快的	c=0 d=0.1 t=14933
kuai di 	快遞	c=0 d=0.1 t=10392
kuai di yuan 	快遞員	c=1 d=1 t=10122
kuai dian 	快點	c=0 d=0.1 t=1286
kuai dian zou a 	快點走啊	c=1 d=1 t=1287
kuai diao le 	快掉了	c=1 d=1 t=10305
kuai guo sheng ri le 	快過生日了	c=1 d=1 t=1476
kuai huai le 	快壞了	c=1 d=1 t=2681
kuai lai kan 	快來看	c=1 d=1 t=9026
kuai le 	快了	c=0 d=0.1 t=6986
kuai le 	快樂	c=2 d=1 t=13096
kuai le kuai le 	快樂快樂	c=1 d=1 t=1955
kuai su 	快速	c=0 d=0.1 t=7651
kuai su xie fa 	快速寫法	c=1 d=1 t=7652
kuai xia yu 	快下雨	c=1 d=1 t=2446
kuan song 	寬鬆	c=0 d=0.1 t=6300
kuan song dian de 	寬鬆點的	c=1 d=1 t=6301
kuang shen 	狂神	c=1 d=1 t=7584
kui 	虧	c=0 d=0.1 t=1454
kui cheng zhe yang le 	虧成這樣了	c=1 d=1 t=1455
kui sun 	虧損	c=1 d=1 t=6122
kuo rong 	擴容	c=0 d=0.177492 t=15970
kuo rong guo 	擴容過	c=1 d=1 t=15971
la 	啦	c=4 d=0.100161 t=14536
la 	拉	c=0 d=0.100027 t=4941
la 	辣	c=0 d=0.1 t=611
la bi xiao xin 	蠟筆小新	c=10 d=3.6539 t=9295
la bu chu lai 	拉不出來	c=1 d=1 t=4942
la dao 	拉到	c=1 d=1 t=8390
la de 	拉的	c=1 d=1 t=6781
la de 	辣的	c=1 d=1 t=4875
la du zi 	拉肚子	c=1 d=1 t=4925
la ji 	垃圾	c=1 d=0.117686 t=7226
la jiao 	辣椒	c=4 d=3.28918 t=4872
la wan 	拉完	c=0 d=0.1 t=4936
lai 	來	c=4 d=0.208484 t=13818
lai bu ji 	來不及	c=1 d=1 t=14334
lai bu lai 	來不來	c=1 d=1 t=10585
lai de 	來的	c=0 d=0.1 t=6052
lai de hua 	來的話	c=1 d=1 t=2393
lai de ji 	來得及	c=1 d=1 t=10727
lai gong si 	來公司	c=2 d=1.28508 t=12076
lai kan 	來看	c=0 d=0.1 t=6648
lai le 	來了	c=4 d=0.1 t=15964
lai le xi an 	來了西安	c=1 d=1 t=1902
lai le xie 	來了些	c=1 d=1 t=12785
lai mao 	來毛	c=1 d=1 t=4958
lai pian wo 	來騙我	c=1 d=1 t=1507
lai shang ban 	來上班	c=1 d=1 t=7820
lai shou ku 	來受苦	c=1 d=1 t=1943
lai suan 	來算	c=1 d=1 t=13032
lai wo men 	來我們	c=1 d=1 t=12815
lai zhao wo 	來找我	c=1 d=1 t=2377
lai zhe 	來着	c=2 d=1 t=12876
lai zhe 	來這	c=1 d=1.01003 t=2399
lai zhe shi shang 	來這世上	c=1 d=1 t=1940
lai zhi qian 	來之前	c=1 d=1 t=10083
lan 	蘭	c=0 d=0.1 t=3519
lan gui 	蘭桂	c=0 d=0.1 t=550
lan gui fang 	蘭桂坊	c=1 d=1 t=551
lan wei yan 	闌尾炎	c=1 d=1 t=2281
lang 	郎	c=0 d=0.1 t=11152
lao 	佬	c=0 d=0.100034 t=8307
lao 	老	c=0 d=0.1 t=7533
lao ban 	老闆	c=0 d=0.1 t=13637
lao ban bu xing 	老闆不行	c=1 d=1 t=13638
lao bing 	烙餅	c=2 d=1.02014 t=3403
lao da 	老大	c=2 d=1.90032 t=11347
lao de 	老德	c=1 d=1 t=10567
lao ge 	老哥	c=4 d=1 t=12083
lao ge 	老歌	c=1 d=1 t=6149
lao ge hao 	老哥好	c=2 d=1 t=14153
lao lao shi shi 	老老實實	c=0 d=0.1 t=12347
lao lao shi shi guo ri zi 	老老實實過日子	c=1 d=1 t=12348
lao qing ren a 	老情人啊	c=1 d=1 t=7534
lao shi dian 	老實點	c=1 d=1 t=12130
lao shu 	老鼠	c=0 d=0.198511 t=4791
lao shu zhe me duo 	老鼠這麼多	c=1 d=1 t=4792
lao tan 	老譚	c=1 d=1 t=4832
lao tian 	老天	c=2 d=1.97531 t=1986
lao tie 	老鐵	c=0 d=0.1 t=842
lao tie men 	老鐵們	c=3 d=1 t=14089
lao yuan 	老遠	c=0 d=0.1 t=6422
lao yuan le 	老遠了	c=1 d=1 t=6423
lao zhe yang 	老這樣	c=1 d=1 t=3817
le 	了	c=169 d=3.5632 t=16294
le a 	了啊	c=1 d=1 t=10326
le ba 	了吧	c=1 d=0.10769 t=13937
le dui ba 	了對吧	c=1 d=1 t=5453
le ha 	了哈	c=1 d=0.1 t=10008
le me 	了麼	c=4 d=0.10021 t=13665
le mei 	了沒	c=1 d=1 t=11685
lei 	累	c=0 d=0.1 t=14149
lei 	類	c=1 d=1 t=13538
lei le 	累了	c=1 d=1 t=6014
lei si 	類似	c=2 d=1.00032 t=15233
lei si yu 	類似於	c=0 d=0.1 t=5704
lei xing 	類型	c=2 d=1.05079 t=16156
leng 	冷	c=1 d=1 t=10483
li 	梨	c=1 d=1 t=5353
li 	禮	c=0 d=0.1 t=11360
li 	裏	c=4 d=1.00004 t=16097
li 	離	c=1 d=1.00325 t=4101
li bie ren yuan dian 	離別人遠點	c=1 d=1 t=3417
li cheng 	歷程	c=1 d=1 t=15906
li de 	離得	c=1 d=0.1 t=12068
li fa 	理髮	c=1 d=1 t=5373
li ge fa 	理個髮	c=2 d=1 t=11490
li hai 	厲害	c=0 d=0.1 t=2275
li jia jin 	離家近	c=1 d=1 t=8999
li jie 	理解	c=2 d=0.16282 t=13973
li jiu 	裏就	c=0 d=0.1 t=13484
li jiu ke yi 	裏就可以	c=1 d=1 t=13485
li kai 	離開	c=0 d=0.1 t=1412
li kong 	利空	c=1 d=1 t=6542
li la 	里拉	c=1 d=1 t=9241
li liang 	力量	c=1 d=0.103927 t=11217
li liang zhi jie 	力量之戒	c=1 d=1 t=11218
li lun shang 	理論上	c=2 d=1.99501 t=10659
li ma 	立馬	c=0 d=0.1 t=8812
li ma xu shang le 	立馬續上了	c=1 d=1 t=8813
li mian 	裏面	c=55 d=5.76351 t=16272
li mian de 	裏面的	c=2 d=1 t=14936
li mian dong xi zai 	裏面東西在	c=1 d=1 t=15079
li mian hai you qian 	裏面還有前	c=1 d=1 t=8977
li mian qu 	裏面去	c=1 d=1 t=3925
li ming 	黎明	c=0 d=0.1 t=8296
li ming qian a 	黎明前啊	c=1 d=1 t=8297
li ni men 	裏你們	c=1 d=1 t=6483
li run zui da hua 	利潤最大化	c=1 d=1 t=12580
li shi 	歷史	c=0 d=0.1 t=9340
li wan 	理完	c=0 d=0.1 t=5103
li wan fa 	理完髮	c=0 d=0.1 t=5377
li wan le 	理完了	c=1 d=1 t=5104
li xi 	利息	c=1 d=0.1 t=14351
li xi 	離席	c=1 d=1 t=12378
li xian 	離線	c=1 d=1.09465 t=15373
li xian xia zai 	離線下載	c=2 d=1.97531 t=15368
li ying ying 	李映瑩	c=6 d=1.00007 t=2449
li ying zhao 	李映朝	c=3 d=1.02671 t=1464
li yong 	利用	c=1 d=1 t=14503
li yong lv 	利用率	c=4 d=1.02329 t=15778
li you shi 	理由是	c=1 d=1 t=7696
li zhi 	理智	c=1 d=1 t=4202
li zhi 	荔枝	c=1 d=1 t=4534
lia 	倆	c=1 d=0.595401 t=13027
lia ge duo xiao shi 	倆個多小時	c=1 d=1 t=6938
lia le 	倆了	c=1 d=1 t=12461
lia wan yi 	倆萬一	c=1 d=1 t=13028
lian 	練	c=0 d=0.1 t=3649
lian 	臉	c=0 d=0.1 t=15735
lian 	連	c=3 d=1 t=14583
lian bu shang 	連不上	c=2 d=0.159679 t=9832
lian bu shang de 	連不上的	c=1 d=1 t=2906
lian bu shang le 	連不上了	c=1 d=1 t=9833
lian dao 	連到	c=1 d=1 t=9138
lian jian 	聯檢	c=1 d=1 t=11765
lian jie 	連接	c=4 d=0.393758 t=15423
lian jie 	鏈接	c=15 d=1.00127 t=15950
lian jie bu shang 	連接不上	c=3 d=1.06946 t=9156
lian jie bu shang le 	連接不上了	c=1 d=1 t=9157
lian jie dian shi 	連接電視	c=1 d=1 t=15424
lian jie xing 	連接性	c=1 d=1 t=1750
lian jie xing 	鏈接性	c=1 d=1 t=1101
lian jin shu shi 	鍊金術士	c=1 d=1 t=1462
lian shang 	臉上	c=1 d=1 t=2155
lian shang lai 	練上來	c=1 d=1 t=3650
lian shen 	廉神	c=5 d=2.15819 t=2367
lian shen ne 	廉神呢	c=1 d=1 t=1854
lian xi 	聯繫	c=5 d=0.826176 t=14726
lian xi ni 	聯繫你	c=1 d=1 t=8831
lian xi ren 	聯繫人	c=1 d=1 t=15225
